DATAFLOW,REF_AREA,FREQ,MEASURE,ACTIVITY,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,ASSET_CODE,CONVERSION_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DECIMALS
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,56.643916348570315,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2014,56.18455011633975,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2013,55.607119006954655,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2012,54.733273509558785,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2011,54.62050263854422,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2010,53.929021575392255,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2025,85.60236428340167,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,84.1147144673672,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,82.26885599486027,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2022,81.10142875669932,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2021,81.52020497270419,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,80.05585297032337,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2019,76.57222195017918,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2018,75.27728632091625,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2017,74.46483796197043,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2016,73.6846854784062,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,73.19851169166591,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2014,72.35346735812777,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2013,71.79887931400513,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2012,71.46617232541249,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2011,71.11001979434774,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),USA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2010,71.1906111351642,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2025,49.438120466097104,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,48.95273659956957,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2017,48.18206619668915,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,49.03534050983264,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2022,49.65278288567169,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2021,49.72548594254864,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,49.58955249323997,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),CAN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,75.60275740212813,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),CAN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2018,69.96578185360708,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2021,59.354989234505815,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,58.421578209146816,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,58.24931387944275,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,58.74347021756253,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2022,59.35664761170624,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,47.35560909304535,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2014,46.77834259322887,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2013,46.41521153549704,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2012,45.95570876377548,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2011,45.71140056661959,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),EA20,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2010,44.98305116676658,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,5213.780106255888,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2023,5280.0958906962605,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2022,5282.080877516532,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2021,5227.950396904839,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2020,5092.017846158808,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2019,5142.470280418858,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2018,5092.021272353985,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2017,5055.216031854726,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),DEU,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2010,52.666853632146704,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,4996.351457181981,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2014,4886.110480147397,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2013,4847.990892152136,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2012,4742.383444667642,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2011,4678.406728590106,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),JPN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2010,4659.586687729525,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),CAN,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,68.42722666615802,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2025,57.594401608132806,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),FRA,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2024,56.7439069049836,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2015,45.722116690151395,A,0,2020,2
OECD.SDD.TPS:DSD_PDB@DF_PDB(2.0),GBR,A,GDPHRS,_T,XDC_H,LR,N,_Z,_Z,2014,45.03443329270538,A,0,2020,2
